2,E2BA,6,ED7C,1,,0,,0,,0,980,210,False,67.7137858868
2,E2BA,6,ED7C,1,,0,,0,,0,980,210,False,67.7139878273
2,E2BA,6,ED7C,1,,0,,0,,0,980,210,False,67.9643399715
2,E2BA,6,ED7C,0,,0,,0,,0,980,164,False,68.2143588066
1,E649,2,,0,,0,,0,,0,0,0,True,68.4643588066
2,E770,1,E649,5,,0,,0,,0,910,0,False,68.7143499851
2,E770,3,E649,0,,0,,0,,0,0,0,True,68.9643578529
1,E770,4,,0,,0,,0,,0,0,0,True,69.214345932
2,E770,0,EAC9,3,,0,,0,,0,727,0,False,69.4643719196
1,EAC9,3,,0,,0,,0,,0,0,0,True,69.7143509388
1,EAC9,0,,0,,0,,0,,0,0,0,True,69.9643638134
2,DE21,4,E17F,1,,0,,0,,0,560,94,False,70.2143628597
1,DE21,6,,0,,0,,0,,0,0,0,True,70.4643549919
3,DE21,1,D762,3,D253,0,,0,,0,582,235,False,70.7143409252
3,DE21,1,D762,3,D253,0,,0,,0,582,235,False,70.9643559456
2,D762,6,D253,0,,0,,0,,0,584,280,False,71.2143578529
1,D762,1,,0,,0,,0,,0,0,0,True,71.4643838406
1,E2A8,2,,0,,0,,0,,0,0,0,True,71.7143478394
2,E174,0,E2A8,5,,0,,0,,0,420,445,False,71.9643578529
3,E2A8,2,E174,0,ED84,2,,0,,0,369,444,False,72.2143559456
2,D992,0,ED84,6,,0,,0,,0,280,444,False,72.4643847942
4,DBD1,0,ED84,4,E757,1,D55F,0,,0,237,401,False,72.7143537998
1,DBD1,0,,0,,0,,0,,0,0,0,True,72.9643568993
4,E887,0,D55F,2,D871,0,DBD1,0,,0,216,238,False,73.2143568993
1,E887,3,,0,,0,,0,,0,0,0,True,73.4643788338
98,,0,,0,,0,,0,,0,0,0,True,73.7143549919
2,E768,3,D871,0,,0,,0,,0,0,0,True,73.9643599987
98,,0,,0,,0,,0,,0,0,0,True,74.2143588066
2,DE19,1,DE21,1,,0,,0,,0,467,140,False,74.4643769264
1,DE21,6,,0,,0,,0,,0,0,0,True,74.714099884
98,,0,,0,,0,,0,,0,0,0,True,74.9643578529
3,D762,3,D253,0,DE21,0,,0,,0,594,245,False,75.2141129971
3,D762,3,D253,0,D557,0,,0,,0,594,314,False,75.46438694
3,D762,0,D253,0,D557,0,,0,,0,593,313,False,75.7140958309
1,DAB9,5,,0,,0,,0,,0,0,0,True,75.9643619061
1,DAB9,0,,0,,0,,0,,0,0,0,True,76.2140929699
2,DAB1,6,EC98,1,,0,,0,,0,910,420,False,76.464373827
2,DAB1,0,EC98,2,,0,,0,,0,892,420,False,76.7143318653
2,EC98,1,ED7C,6,,0,,0,,0,980,350,False,76.9643409252
2,EBC4,0,ED7C,4,,0,,0,,0,1006,280,False,77.2143478394
