  0,   0
 13,   0
 21,   0
 22,   0
 23,   0
 25,   0
 22,   0
 23,   0
 25,   0
 21,   0
 23,   0
 25,   0
 22,   0
 23,   0
 25,   0
 22,   0
  7,   8
  1,  10
  0,  11
  0,  11
  0,  12
  0,  12
  0,  11
  0,  12
 15,   4
 21,   1
 22,   0
 23,   0
  7,   8
  1,  11
  0,  12
  0,  11
  0,  12
  0,  11
  0,  12
  0,  12
 15,   3
 20,   1
 23,   0
 23,   0
 22,   0
 25,   0
 23,   0
 22,   0
 23,   0
 25,   0
 22,   0
 23,   0
 25,   0
 22,   0
 23,   0
  7,   9
  1,  11
  0,  10
  0,  12
  0,  12
  0,  11
  0,  12
  0,  11
 15,   4
 20,   1
 23,   0
 23,   0
  7,   9
  2,  10
  0,  10
  0,  12
  0,  10
  0,  12
  0,  12
  0,  10
  0,   1
